id,shuttle_location,shuttle_type,engine_type,engine_vendor,engines,passenger_capacity,cancellation_policy,crew,d_check_complete,moon_clearance_complete,price,company_id
7653,Costa Rica,Type V5,Plasma,ThetaBase Services,1,4,strict,2,t,f,"$2,300.0",37392
74286,Russian Federation,Type V5,Plasma,ThetaBase Services,2,6,strict,2,f,f,"$2,040.0",30065
40515,Russian Federation,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,f,f,"$1,416.0",9011
45692,Niue,Type V5,Plasma,ThetaBase Services,2,6,strict,3,f,f,"$1,845.0",26524
15000,Sao Tome and Principe,Type V5,Quantum,ThetaBase Services,1,2,moderate,0,t,f,"$1,611.0",35807
48747,Malta,Type V5,Plasma,ThetaBase Services,2,4,strict,2,f,f,"$2,170.0",13525
43966,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,1,2,flexible,1,f,f,"$1,715.0",29563
18155,Malta,Type V5,Quantum,ThetaBase Services,1,1,moderate,1,f,f,"$1,767.0",794
58876,Kiribati,Type V5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,845.0",283
24706,Barbados,Type V5,Plasma,ThetaBase Services,1,2,moderate,1,f,f,"$2,157.0",20847
70604,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2,4,strict,3,f,f,"$1,650.0",14602
26471,Marshall Islands,Type O3,Quantum,ThetaBase Services,1,4,flexible,1,f,f,"$2,040.0",27556
49800,Micronesia,Type V5,Quantum,ThetaBase Services,1,1,strict,1,f,f,"$1,325.0",13585
22234,United Kingdom,Type G0,Plasma,ThetaBase Services,1,3,strict,1,t,f,"$2,872.0",37646
16340,Nicaragua,Type V5,Plasma,ThetaBase Services,1,4,strict,3,f,f,"$2,105.0",45546
41203,Rwanda,Type G0,Plasma,ThetaBase Services,2,5,strict,2,t,f,"$3,015.0",37646
17610,United Kingdom,Type F5,Quantum,ThetaBase Services,1,2,strict,1,t,f,"$1,325.0",39713
6684,Rwanda,Type V5,Plasma,ThetaBase Services,2,5,strict,2,f,f,"$2,560.0",6518
31569,United Kingdom,Type V5,Plasma,ThetaBase Services,2,6,strict,3,f,f,"$3,990.0",32603
76975,Micronesia,Type V5,Plasma,ThetaBase Services,2,3,strict,2,f,f,"$2,105.0",13585
17713,Costa Rica,Type F5,Quantum,ThetaBase Services,1,2,flexible,1,f,f,"$1,481.0",40954
61591,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,strict,1,f,f,"$2,040.0",30509
13839,Malta,Type V5,Quantum,ThetaBase Services,2,2,strict,2,f,f,"$1,585.0",9829
32376,United Kingdom,Type V5,Quantum,ThetaBase Services,1,3,strict,2,f,f,"$1,585.0",10204
35048,Russian Federation,Type V5,Plasma,ThetaBase Services,2,4,strict,3,f,f,"$3,405.0",45546
77029,Malta,Type V5,Plasma,ThetaBase Services,1,3,moderate,1,f,f,"$2,430.0",17703
6062,Faroe Islands,Type F5,Quantum,ThetaBase Services,1,2,moderate,1,f,f,"$1,455.0",42686
9155,Sao Tome and Principe,Type V2,Quantum,ThetaBase Services,1,2,moderate,0,f,f,"$1,247.0",8930
57334,Bouvet Island (Bouvetoya),Type F5,Quantum,ThetaBase Services,1,1,moderate,1,f,f,"$1,390.0",293
2266,Bouvet Island (Bouvetoya),Type V2,Plasma,ThetaBase Services,3,8,strict,4,f,f,"$2,469.0",44853
62819,Faroe Islands,Type F5,Quantum,ThetaBase Services,1,3,flexible,1,f,f,"$1,598.0",4038
24650,Rwanda,Type F5,Plasma,ThetaBase Services,1,2,strict,2,f,f,"$2,300.0",28458
40761,Nicaragua,Type V5,Plasma,ThetaBase Services,1,4,strict,3,f,f,"$2,040.0",24133
62092,United Kingdom,Type V5,Quantum,ThetaBase Services,1,1,flexible,,f,f,"$1,611.0",20550
8691,United Kingdom,Type F5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,325.0",4237
53116,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,1,flexible,1,f,f,"$1,390.0",10392
50190,Uzbekistan,Type F5,Quantum,ThetaBase Services,1,1,moderate,1,f,f,"$1,520.0",28911
48391,Sao Tome and Principe,Type F5,Quantum,ThetaBase Services,1,1,strict,1,t,f,"$1,325.0",39724
56396,Nicaragua,Type V5,Quantum,ThetaBase Services,1,1,strict,1,f,f,"$1,585.0",32659
30465,Micronesia,Type V5,Plasma,ThetaBase Services,1,2,strict,1,f,f,"$1,910.0",11428
55579,United Kingdom,Type V5,Quantum,ThetaBase Services,1,3,strict,2,f,f,"$1,481.0",10204
28853,Anguilla,Type F5,Quantum,ThetaBase Services,1,1,moderate,1,f,f,"$1,247.0",36659
68424,Russian Federation,Type V5,Quantum,ThetaBase Services,2,3,moderate,2,f,f,"$1,910.0",31686
14058,Malta,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,f,f,"$1,312.0",8654
42319,Malta,Type V5,Quantum,ThetaBase Services,1,1,moderate,1,t,f,"$1,429.0",38347
44970,Anguilla,Type F5,Quantum,ThetaBase Services,1,2,flexible,1,f,f,"$1,520.0",46667
38755,Costa Rica,Type O3,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,845.0",37392
62135,Russian Federation,Type V5,Plasma,ThetaBase Services,1,2,strict,1,f,f,"$2,105.0",1499
65948,Nicaragua,Type V5,Plasma,ThetaBase Services,1,2,strict,1,f,f,"$2,196.0",6896
53347,Nicaragua,Type V2,Plasma,ThetaBase Services,3,6,strict,3,t,f,"$4,445.0",10818
65506,United Kingdom,Type V5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,247.0",15164
49181,Anguilla,Type F5,Quantum,ThetaBase Services,1,2,flexible,1,f,f,"$1,988.0",263
9219,United Kingdom,Type V5,Plasma,ThetaBase Services,2,4,strict,2,f,f,"$2,625.0",15164
53927,Barbados,Type V5,Plasma,ThetaBase Services,1,2,strict,1,t,f,"$1,780.0",21341
31148,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,moderate,1,f,f,"$2,820.0",34203
64665,Faroe Islands,Type F5,Quantum,ThetaBase Services,1,5,strict,3,f,f,"$1,390.0",14369
62620,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2,4,strict,2,t,f,"$2,950.0",34259
57908,United Kingdom,Type V5,Quantum,ThetaBase Services,1,2,strict,1,t,f,"$1,559.0",8442
22623,Brazil,Type X3,Plasma,ThetaBase Services,1,4,strict,1,f,f,"$1,910.0",425
24279,Micronesia,Type V5,Quantum,ThetaBase Services,1,1,strict,1,f,f,"$1,624.0",41880
61273,Sao Tome and Principe,Type F5,Quantum,ThetaBase Services,1,2,strict,1,t,f,"$1,494.0",39724
69882,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,strict,1,f,f,"$1,845.0",34126
46698,Uzbekistan,Type F5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,325.0",3777
38657,Nicaragua,Type F5,Plasma,ThetaBase Services,3,8,strict,4,f,f,"$11,062.0",47152
62223,Malta,Type V5,Plasma,ThetaBase Services,2,5,strict,2,t,f,"$2,001.0",40390
62211,Estonia,Type V5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$2,430.0",20417
69763,Sao Tome and Principe,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,t,f,"$1,650.0",34259
57220,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,1,2,flexible,1,f,f,"$2,820.0",6053
70959,Chad,Type V5,Plasma,ThetaBase Services,2,4,flexible,1,f,f,"$2,755.0",17725
24928,Uzbekistan,Type V5,Plasma,ThetaBase Services,2,2,flexible,1,f,f,"$3,470.0",34107
14185,Mexico,Type V2,Quantum,ThetaBase Services,1,2,flexible,1,t,f,"$1,130.0",10950
29920,Bosnia and Herzegovina,Type F5,Quantum,ThetaBase Services,1,1,strict,1,f,f,"$1,130.0",27316
11888,Bosnia and Herzegovina,Type O3,Quantum,ThetaBase Services,1,1,flexible,1,f,f,"$1,390.0",27316
66198,Costa Rica,Type F5,Quantum,ThetaBase Services,1,2,flexible,1,f,f,"$1,650.0",20272
55265,Malta,Type V5,Plasma,ThetaBase Services,2,5,strict,2,f,f,"$2,105.0",34753
25548,Nicaragua,Type F5,Quantum,ThetaBase Services,1,4,strict,1,f,f,"$5,966.0",47152
48917,Faroe Islands,Type O3,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,520.0",1539
20524,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,1,flexible,1,f,f,"$1,390.0",13458
25889,Russian Federation,Type V2,Quantum,ThetaBase Services,1,2,strict,1,t,f,"$2,144.0",36524
71387,Micronesia,Type V5,Plasma,ThetaBase Services,1,4,moderate,1,t,f,"$3,145.0",4306
50007,Micronesia,Type V5,Plasma,ThetaBase Services,2,4,strict,2,f,f,"$2,820.0",10079
63296,Bosnia and Herzegovina,Type F5,Quantum,ThetaBase Services,1,2,strict,2,f,f,"$1,260.0",27316
1245,Gambia,Type V5,Plasma,ThetaBase Services,2,6,strict,4,f,f,"$2,690.0",33823
27694,Rwanda,Type V5,Plasma,ThetaBase Services,2,4,moderate,2,f,f,"$2,820.0",19806
15821,Rwanda,Type V7,Plasma,ThetaBase Services,2,6,strict,2,f,f,"$4,445.0",19934
21340,Micronesia,Type V5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,455.0",34296
45164,Rwanda,Type V2,Plasma,ThetaBase Services,2,6,moderate,3,t,f,"$2,755.0",22324
55707,Rwanda,Type V5,Plasma,ThetaBase Services,2,5,strict,1,f,f,"$1,949.0",42262
26825,Niue,Type Z6,Quantum,ThetaBase Services,1,1,flexible,1,t,f,"$1,260.0",8945
30759,Nicaragua,Type V5,Quantum,ThetaBase Services,1,2,strict,1,t,f,"$2,027.0",10865
26566,United Kingdom,Type V5,Quantum,ThetaBase Services,1,2,flexible,1,f,f,"$1,455.0",1082
53300,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2,5,moderate,3,f,f,"$2,820.0",19028
29055,Pakistan,Type V5,Plasma,ThetaBase Services,1,4,strict,2,f,f,"$1,910.0",16587
14143,Sao Tome and Principe,Type V5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,338.0",10212
60535,Sao Tome and Principe,Type V5,Plasma,ThetaBase Services,2,3,strict,1,f,f,"$2,430.0",10212
31446,Rwanda,Type V7,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,650.0",14629
63186,Rwanda,Type V5,Quantum,ThetaBase Services,1,2,strict,1,t,f,"$1,260.0",14629
58248,Malta,Type F5,Quantum,ThetaBase Services,1,1,flexible,1,t,f,"$1,325.0",31381
3928,Malta,Type F5,Quantum,ThetaBase Services,1,1,moderate,1,t,f,"$1,325.0",31381
61718,Bouvet Island (Bouvetoya),Type F5,Plasma,ThetaBase Services,4,7,strict,7,f,f,"$2,690.0",24713
45061,Nicaragua,Type V5,Quantum,"Banks, Wood and Phillips",1,3,strict,1,f,f,"$1,546.0",2115
9738,Nicaragua,Type V5,Plasma,ThetaBase Services,1,5,strict,2,f,f,"$2,950.0",2115
59108,Switzerland,Type F5,Quantum,ThetaBase Services,1,2,flexible,1,f,f,"$2,820.0",39416
25137,Rwanda,Type V5,Quantum,ThetaBase Services,1,1,flexible,1,f,f,"$1,351.0",41207
19720,Malta,Type F5,Quantum,ThetaBase Services,1,2,flexible,1,t,f,"$3,860.0",11024
32096,Switzerland,Type O3,Quantum,ThetaBase Services,1,2,flexible,1,f,f,"$1,845.0",43313
41284,Malta,Type Z6,Quantum,ThetaBase Services,1,2,moderate,1,f,f,"$2,495.0",19141
59532,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,moderate,1,f,f,"$1,325.0",22030
28342,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,585.0",31871
61194,Uzbekistan,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,f,f,"$1,520.0",37632
2390,Barbados,Type V5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,650.0",14700
50943,Barbados,Type V5,Quantum,ThetaBase Services,1,1,strict,1,f,f,"$1,520.0",14700
1464,Gambia,Type V5,Quantum,ThetaBase Services,1,1,moderate,1,f,f,"$1,312.0",38159
47810,United Kingdom,Type V5,Quantum,ThetaBase Services,1,1,strict,1,f,f,"$1,260.0",38742
73246,Gambia,Type F5,Quantum,ThetaBase Services,1,2,flexible,1,f,f,"$1,455.0",49221
21708,Switzerland,Type F5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$3,470.0",2284
5480,Nicaragua,Type V5,Plasma,ThetaBase Services,2,2,flexible,2,f,f,"$1,910.0",22074
18325,Russian Federation,Type V5,Quantum,ThetaBase Services,1,1,strict,1,f,f,"$1,416.0",48879
25749,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,650.0",16273
76729,Micronesia,Type V5,Plasma,ThetaBase Services,3,5,flexible,3,f,f,"$4,510.0",37662
30461,Rwanda,Type V5,Plasma,ThetaBase Services,1,2,strict,1,f,f,"$1,780.0",10195
75029,Anguilla,Type F5,Plasma,ThetaBase Services,1,2,flexible,1,f,f,"$1,520.0",7802
5819,Barbados,Type V5,Quantum,ThetaBase Services,0,2,strict,1,t,f,"$2,833.0",37117
21106,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,390.0",33956
58955,Sao Tome and Principe,Type V2,Plasma,ThetaBase Services,2,4,strict,2,f,f,"$2,430.0",10702
30363,Russian Federation,Type V5,Plasma,ThetaBase Services,2,4,moderate,2,f,f,"$1,910.0",6364
12974,Kiribati,Type F5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,312.0",30846
4819,Niue,Type F5,Quantum,ThetaBase Services,1,2,moderate,2,f,f,"$1,520.0",25473
45465,Malta,Type F5,Quantum,ThetaBase Services,1,3,strict,3,f,f,"$2,820.0",3052
10811,Malta,Type F5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$2,690.0",3052
24042,Malta,Type F5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$2,690.0",3052
62917,United Kingdom,Type F5,Quantum,ThetaBase Services,1,2,flexible,1,f,f,"$1,195.0",17650
39980,Brazil,Type F5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,520.0",6438
63824,United Kingdom,Type V5,Plasma,ThetaBase Services,1,2,strict,1,f,f,"$2,040.0",39467
28814,Bouvet Island (Bouvetoya),Type V7,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,793.0",5223
75959,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$2,820.0",16415
44067,Micronesia,Type V5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,455.0",38514
3980,Estonia,Type V5,Quantum,ThetaBase Services,1,1,moderate,1,f,f,"$1,520.0",6038
37297,Estonia,Type F5,Quantum,ThetaBase Services,1,1,strict,1,t,f,"$1,195.0",33400
11190,Estonia,Type F5,Quantum,ThetaBase Services,1,3,moderate,2,t,f,"$1,416.0",33400
46614,Marshall Islands,Type F5,Quantum,ThetaBase Services,1,1,strict,1,t,f,"$1,715.0",40047
22804,Russian Federation,Type V5,Plasma,ThetaBase Services,1,2,strict,1,f,f,"$2,365.0",1164
19451,Switzerland,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,f,f,"$1,390.0",42135
63952,Brazil,Type V5,Quantum,ThetaBase Services,1,1,flexible,1,f,f,"$1,520.0",16793
16187,Russian Federation,Type V2,Quantum,ThetaBase Services,1,2,moderate,1,t,f,"$1,494.0",13831
72768,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,moderate,1,f,f,"$1,910.0",43455
32811,Uzbekistan,Type V5,Quantum,ThetaBase Services,1,2,flexible,1,f,f,"$1,364.0",35827
26349,Russian Federation,Type O3,Quantum,ThetaBase Services,1,2,strict,2,f,f,"$1,585.0",43481
9169,Rwanda,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,t,f,"$1,845.0",24781
26104,Russian Federation,Type V5,Plasma,ThetaBase Services,1,4,strict,1,f,f,"$2,170.0",23308
21717,Barbados,Type V5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$2,040.0",37298
41579,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,moderate,1,f,f,"$2,040.0",30112
7202,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,strict,2,f,f,"$2,417.0",42498
43090,Nicaragua,Type F5,Plasma,ThetaBase Services,4,8,strict,6,f,f,"$4,705.0",30276
24698,Faroe Islands,Type O3,Quantum,ThetaBase Services,1,2,flexible,2,f,f,"$1,520.0",1539
70399,Russian Federation,Type V5,Plasma,ThetaBase Services,1,2,moderate,1,f,f,"$1,910.0",32060
50222,Nicaragua,Type V5,Plasma,ThetaBase Services,2,7,strict,3,t,f,"$3,171.0",30435
34345,Niue,Type F5,Plasma,ThetaBase Services,5,12,strict,7,f,f,"$4,770.0",12017
35414,Costa Rica,Type V5,Quantum,ThetaBase Services,1,2,flexible,1,f,f,"$1,650.0",7777
55690,Rwanda,Type V5,Plasma,ThetaBase Services,2,4,strict,2,t,f,"$1,975.0",3840
2915,Faroe Islands,Type F5,Quantum,ThetaBase Services,2,4,strict,3,f,f,"$2,170.0",1539
46073,Indonesia,Type V5,Plasma,ThetaBase Services,2,4,strict,2,t,f,"$1,910.0",22091
7998,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,1,2,strict,1,f,f,"$1,585.0",1294
41774,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,moderate,2,t,f,"$1,845.0",38836
48919,Niue,Type F5,Plasma,ThetaBase Services,3,6,moderate,3,f,f,"$4,120.0",47371
72628,Estonia,Type F5,Quantum,ThetaBase Services,1,2,flexible,1,f,f,"$2,170.0",38747
52234,Switzerland,Type V5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$3,652.0",1895
8089,Rwanda,Type V7,Quantum,ThetaBase Services,1,2,strict,1,t,f,"$1,546.0",19078
18936,Nicaragua,Type V5,Plasma,ThetaBase Services,1,2,strict,1,f,f,"$2,495.0",44046
5833,Bouvet Island (Bouvetoya),Type V5,Plasma,"Banks, Wood and Phillips",5,7,strict,5,f,f,"$2,495.0",35176
49989,Malta,Type V5,Plasma,"Banks, Wood and Phillips",1,1,moderate,1,t,f,"$1,520.0",33514
69391,United Kingdom,Type O3,Quantum,ThetaBase Services,1,2,flexible,1,t,f,"$1,195.0",21642
36278,Nicaragua,Type Z6,Plasma,ThetaBase Services,1,2,moderate,1,f,f,"$2,040.0",27227
18723,Faroe Islands,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,f,f,"$1,806.0",48614
23716,United Kingdom,Type V5,Quantum,ThetaBase Services,1,1,strict,1,f,f,"$1,650.0",32651
33319,Faroe Islands,Type F5,Quantum,ThetaBase Services,1,2,strict,2,f,f,"$1,585.0",37626
75157,Rwanda,Type V5,Plasma,ThetaBase Services,1,3,strict,1,f,f,"$2,820.0",8695
26662,Faroe Islands,Type V5,Quantum,ThetaBase Services,1,2,strict,,f,f,"$2,495.0",18178
36180,Barbados,Type V5,Plasma,ThetaBase Services,1,3,strict,,f,f,"$2,872.0",12034
11854,Malta,Type V5,Quantum,ThetaBase Services,1,1,flexible,1,f,f,"$2,040.0",17545
32170,Malta,Type V5,Quantum,ThetaBase Services,1,2,moderate,1,t,f,"$1,325.0",33514
70355,Indonesia,Type F5,Plasma,ThetaBase Services,3,6,strict,3,f,f,"$4,120.0",12799
51642,Malta,Type V5,Plasma,ThetaBase Services,2,8,strict,4,f,f,"$3,457.0",40752
13055,Nicaragua,Type Z6,Quantum,ThetaBase Services,1,2,moderate,1,f,f,"$2,105.0",5559
18734,Micronesia,Type V5,Plasma,ThetaBase Services,2,3,strict,3,f,f,"$3,600.0",21204
70165,Nicaragua,Type V5,Plasma,ThetaBase Services,1,2,strict,1,f,f,"$2,170.0",32587
26732,Bouvet Island (Bouvetoya),Type F5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,416.0",17726
71059,Guinea,Type V5,Plasma,ThetaBase Services,1,2,strict,1,f,f,"$2,690.0",13510
58041,Malta,Type Z6,Plasma,ThetaBase Services,2,4,moderate,2,f,f,"$3,145.0",17109
3327,Pakistan,Type F5,Quantum,ThetaBase Services,1,2,moderate,2,f,f,"$1,325.0",11716
55078,Bouvet Island (Bouvetoya),Type V5,Quantum,ThetaBase Services,1,2,strict,1,t,f,"$1,481.0",26704
15973,Russian Federation,Type V5,Plasma,ThetaBase Services,1,2,strict,1,f,f,"$2,560.0",49765
50983,Switzerland,Type F5,Quantum,ThetaBase Services,1,2,moderate,2,f,f,"$1,455.0",26319
51491,Estonia,Type V5,Quantum,ThetaBase Services,1,2,strict,1,t,f,"$1,221.0",15087
32906,Malta,Type V5,Plasma,ThetaBase Services,1,2,strict,0,f,f,"$2,755.0",42867
8171,United Kingdom,Type V7,Plasma,ThetaBase Services,1,2,strict,1,f,f,"$2,040.0",12701
16911,Nicaragua,Type V5,Plasma,ThetaBase Services,2,4,moderate,2,t,f,"$2,157.0",48652
30018,Malta,Type V5,Quantum,ThetaBase Services,1,2,strict,1,t,f,"$1,780.0",30797
15605,Rwanda,Type F5,Plasma,ThetaBase Services,5,9,strict,5,f,f,"$5,095.0",15334
47793,Switzerland,Type O3,Quantum,ThetaBase Services,1,2,moderate,1,f,f,"$1,520.0",26537
43283,Switzerland,Type O3,Quantum,"Banks, Wood and Phillips",1,2,moderate,1,f,f,"$1,455.0",26537
76515,United Kingdom,Type V5,Plasma,ThetaBase Services,2,4,strict,2,f,f,"$2,430.0",10696
26453,Brazil,Type F5,Quantum,ThetaBase Services,1,1,strict,1,t,f,"$1,156.0",17150
61949,Nicaragua,Type V5,Plasma,ThetaBase Services,2,2,flexible,1,f,f,"$2,170.0",14870
71734,Estonia,Type V5,Quantum,ThetaBase Services,1,4,strict,3,f,f,"$2,170.0",20296
53554,Russian Federation,Type V5,Quantum,ThetaBase Services,1,1,strict,0,f,f,"$1,455.0",14034
45295,United Kingdom,Type V5,Plasma,ThetaBase Services,3,8,strict,3,f,f,"$2,573.0",44336
55198,Rwanda,Type F5,Plasma,ThetaBase Services,2,5,strict,3,f,f,"$2,287.0",22860
15602,Niue,Type F5,Quantum,MCW Global,1,1,flexible,1,f,f,"$1,234.0",44578
66890,Uzbekistan,Type F5,Quantum,ThetaBase Services,1,2,moderate,2,f,f,"$1,130.0",41378
57286,Bouvet Island (Bouvetoya),Type V5,Plasma,ThetaBase Services,2,4,strict,2,f,f,"$2,950.0",17628
6797,United Kingdom,Type V5,Plasma,ThetaBase Services,4,8,strict,4,f,f,"$1,520.0",32612
25217,Rwanda,Type V5,Plasma,ThetaBase Services,2,4,strict,2,f,f,"$2,820.0",26482
58105,Niue,Type V5,Quantum,ThetaBase Services,1,2,flexible,1,f,f,"$1,325.0",36537
873,Rwanda,Type F5,Plasma,ThetaBase Services,2,4,strict,3,f,f,"$2,690.0",17120
28423,Uzbekistan,Type F5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$2,170.0",29027
12047,Uzbekistan,Type V5,Plasma,ThetaBase Services,2,4,strict,1,t,f,"$5,628.0",47515
46642,Faroe Islands,Type F5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$1,520.0",17396
47404,Uzbekistan,Type V5,Quantum,ThetaBase Services,1,2,strict,1,f,f,"$2,885.0",9876
